timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461662546716477,0,0,-12,-3,-1,-1,-2,-1
1461662546716477,-5,-2,8,-2,-3,-1,1,-2
1461662546723458,1,6,13,3,4,1,-1,-2
1461662546723458,1,5,10,-1,2,0,-1,-2
1461662546740487,4,0,-1,-1,-1,0,0,1
1461662546740487,-6,-7,-13,-21,-14,-7,-3,-2
1461662546741474,-5,-4,2,1,-7,-1,-3,-4
1461662546741474,5,7,9,-4,-3,-2,-1,-2
1461662546769588,-2,-2,-5,8,13,1,-1,-1
1461662546769588,-1,4,0,5,-2,1,-3,0
1461662546771584,-2,-4,-4,-2,-5,-4,0,4
1461662546771584,7,8,7,8,8,2,2,3
1461662546776598,-2,1,6,1,-4,-5,-2,-1
1461662546776598,-4,0,-1,-9,-3,-3,-1,-3
1461662546783650,1,1,7,-2,1,0,-1,-1
1461662546783650,-2,-9,-14,-5,-4,0,-2,-3
1461662546799662,3,4,0,1,-3,-1,0,-2
1461662546799662,-3,3,7,5,1,0,0,-1
1461662546801607,-7,-16,-37,-12,-5,-3,0,-2
1461662546801607,0,4,30,-1,-3,-1,0,-2
1461662546813641,-5,-6,-10,1,-1,1,0,1
1461662546813641,-4,-2,8,-2,-2,0,0,-2
1461662546822619,1,4,6,-2,-2,-2,-2,0
1461662546822619,4,4,-3,6,1,-1,-1,2
1461662546836631,-1,-7,-9,-11,-1,0,-3,2
1461662546836631,-4,-5,-4,11,11,4,1,3
1461662546843704,1,4,6,13,4,-1,-2,-1
1461662546843704,1,6,13,7,-1,-2,-1,-2
1461662546859651,-3,-6,-9,3,2,1,-1,-5
1461662546859651,-3,0,-6,-7,-4,0,0,-2
1461662546861652,-1,1,-6,-11,-3,-1,-2,0
1461662546861652,-3,-9,-10,4,1,-2,-2,-3
1461662546873661,4,9,13,-3,-2,0,1,1
1461662546873661,2,2,-9,2,2,0,0,0
1461662546882667,2,13,16,-6,-2,0,0,0
1461662546882667,-1,0,2,-4,-2,-2,-1,-1
1461662546896714,-5,-6,-10,1,-1,-1,0,0
1461662546896714,0,-2,9,-3,-1,0,1,0
1461662546903679,4,2,0,0,-5,-4,0,0
1461662546903679,1,-2,3,4,2,0,-1,0
1461662546919691,-3,-2,0,-4,-3,-4,-2,-4
1461662546919691,-10,-7,-1,-8,-4,0,-1,1
1461662546921691,-2,2,-1,15,8,6,1,2
1461662546921691,17,-8,-4,-5,6,3,5,1
1461662546933699,2,-3,0,3,-6,-4,-4,-5
1461662546933699,-14,0,-2,10,7,3,-2,-1
1461662546942708,-12,1,12,-4,0,-1,0,2
1461662546942708,7,0,-4,-2,-3,-1,1,0
1461662546956716,8,2,-2,-4,-2,-2,-2,-2
1461662546956716,-12,-1,-1,-7,-9,-5,-2,-1
1461662546965762,-12,-6,-6,3,1,-1,0,1
1461662546965762,9,-3,-9,-6,-4,-1,-1,-1
1461662546979791,8,5,5,-4,-3,-2,0,-5
1461662546979791,-11,-24,-7,-1,-2,-2,0,-2
1461662546981760,-5,3,0,-1,4,2,1,1
1461662546981760,-1,1,-4,-19,-10,-2,-4,3
1461662546993801,-4,-9,-5,9,2,-3,-4,-2
1461662546993801,6,5,0,1,3,-2,-2,-1
1461662547002765,4,-2,5,4,1,0,2,-1
1461662547002765,-7,-3,-5,-7,-5,-1,-2,-5
1461662547016819,-3,3,1,9,9,4,1,2
1461662547016819,7,7,-11,-18,-6,-2,0,0
1461662547023762,9,-2,-5,9,2,0,0,-1
1461662547023762,-3,6,15,0,-3,-2,-1,-1
1461662547039831,-5,-2,6,0,-4,-1,-1,0
1461662547039831,7,4,2,-3,-5,-3,0,-2
1461662547045835,9,3,-2,-15,-7,-4,0,-3
1461662547045835,-1,-15,-15,20,4,-2,0,2
1461662547053797,-8,34,14,2,0,1,0,1
1461662547053797,7,-10,-3,1,0,4,1,2
1461662547069793,5,1,-17,-14,-5,0,-2,0
1461662547069793,-6,-12,5,0,-2,-2,-3,-2
1461662547076798,0,8,-3,2,6,3,2,4
1461662547076798,3,5,-4,4,1,-1,-2,-3
1461662547083803,-2,-7,6,0,-2,-3,-3,-3
1461662547083803,-4,3,3,2,-3,-2,-2,-3
1461662547099815,-3,-12,-7,-10,-6,-1,-1,1
1461662547099815,-3,-7,-1,-6,-5,-4,-2,-1
1461662547101816,1,-7,-6,1,-1,-2,-1,1
1461662547101816,0,11,3,-5,-2,1,1,0
1461662547113825,-3,-5,-10,-7,-3,0,-1,-3
1461662547113825,-7,-7,25,9,2,1,-1,-1
1461662547122831,5,4,10,0,-3,-1,1,-1
1461662547122831,-6,-13,-20,-8,-1,0,-3,-6
1461662547136841,-4,-11,-6,1,-1,-1,-2,-3
1461662547136841,4,7,-6,3,-2,-3,-1,2
1461662547143845,2,3,0,-1,4,1,0,2
1461662547143845,2,7,2,-7,-2,-4,-2,-2
1461662547159858,-3,-3,6,7,2,0,-1,1
1461662547159858,-3,0,-11,-2,1,-1,-2,0
1461662547162862,-1,-4,7,0,2,0,0,-2
1461662547162862,7,6,4,0,-3,0,0,-1
1461662547173879,-3,-2,-6,-7,-6,-4,-2,-5
1461662547173879,-11,1,-1,2,-1,0,-1,3
1461662547182888,-4,-5,-10,-1,-2,0,0,3
1461662547182888,11,1,-2,-3,0,-1,1,3
1461662547196899,2,-3,11,2,-2,-3,-3,-5
1461662547196899,-11,3,-14,-5,-2,-1,-1,-6
1461662547204890,-4,5,0,-2,-2,-2,-1,1
1461662547204890,11,1,-1,1,1,1,0,2
1461662547219901,1,-9,-9,-9,-5,-3,-3,-2
1461662547219901,-14,0,-1,-1,0,-1,0,-3
1461662547221901,-11,-5,0,1,0,0,-3,-2
1461662547221901,10,2,1,-1,0,-1,0,-2
1461662547233969,6,-6,-1,-2,-2,-1,-1,-1
1461662547233969,-7,-2,2,1,1,-1,-2,-1
1461662547243038,-8,-2,2,-2,-1,-2,1,1
1461662547243038,4,-1,0,1,0,2,-2,-2
1461662547257028,2,-2,-5,-3,-5,-1,-2,-4
1461662547257028,-6,1,1,1,0,1,-3,2
1461662547264093,-4,2,1,-2,0,-1,-2,-1
