timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461662751599317,-1,-5,-14,-5,-6,-2,-1,0
1461662751599317,-1,3,15,-3,-1,-1,-1,0
1461662751608324,1,0,-3,13,7,-1,-3,-1
1461662751608324,0,0,1,-10,-4,-2,-2,-2
1461662751622346,1,2,-3,-10,-7,-2,-1,0
1461662751622346,-4,-5,-2,5,3,-1,-2,-2
1461662751629338,0,-2,-1,4,0,-2,-1,2
1461662751629338,-3,0,2,-16,-4,-2,-3,-2
1461662751645349,-1,-1,12,14,-2,-1,-1,-2
1461662751645349,-1,-1,-7,-5,-4,-2,0,1
1461662751647350,-3,-2,-2,2,0,0,-2,0
1461662751647350,1,5,16,3,0,0,0,-2
1461662751659359,0,3,5,-8,-3,-2,-1,0
1461662751659359,-2,-10,-33,-8,-2,-2,-2,-2
1461662751668773,-1,-2,3,1,-1,-1,-1,-1
1461662751668773,-2,-4,-14,-1,-3,0,0,0
1461662751682793,0,2,3,-4,-1,-2,-1,-1
1461662751682793,2,10,22,8,2,0,0,1
1461662751689850,-4,-8,-18,-3,-2,0,0,0
1461662751689850,0,2,0,7,1,0,1,1
1461662751697293,0,1,2,-4,-2,-1,-2,-2
1461662751697293,-1,2,8,1,-1,-2,-2,-1
1461662751706309,-2,1,-3,-10,-5,-2,-1,-1
1461662751706309,1,-2,-13,2,5,2,1,1
1461662751719806,0,-4,-5,6,3,2,0,-1
1461662751719806,-2,-3,-3,3,0,0,1,-2
1461662751728826,0,4,18,-1,-4,-1,-2,0
1461662751728826,-1,-14,-37,-14,-3,-3,-1,-2
1461662751742884,-1,-1,0,-3,-5,-2,-2,-1
1461662751742884,-1,-3,-5,4,0,0,0,-2
1461662751749842,-1,2,10,1,1,1,-1,-1
1461662751749842,1,0,6,-3,-1,0,0,-1
1461662751773846,-2,-6,3,5,0,-2,-3,-2
1461662751773846,-5,-7,-13,-10,-4,-2,-2,-3
1461662751780351,0,3,4,1,0,0,0,0
1461662751780351,0,-2,-1,-3,-3,-3,-2,-1
1461662751781361,2,-1,-6,-5,-3,-1,-1,-1
1461662751781361,-2,1,5,-2,-1,-1,0,2
1461662751788857,-2,-3,-9,1,-1,0,-1,-1
1461662751788857,2,-1,4,10,4,-1,-1,0
1461662751802895,-3,-6,-4,0,4,0,1,-2
1461662751802895,0,2,8,3,2,-1,0,-1
1461662751809897,-3,-4,-9,-17,-3,-4,-1,-2
1461662751809897,0,4,9,5,-5,-2,-2,-2
1461662751825907,-2,-5,-6,7,1,-1,0,-1
1461662751825907,-1,2,9,-4,-1,-1,0,0
1461662751827909,-2,-2,-7,4,1,0,0,-1
1461662751827909,0,1,-2,-17,-5,-2,1,0
