1,0,0,0,0,0,0,0,0
2,1,-3,3,-1,-1,-1,0,-1
3,-3,0,-3,-1,-2,1,-2,-1
4,-4,-2,-1,1,2,-1,0,-4
5,0,7,12,3,-2,-2,0,1
6,-2,-4,2,-2,-1,-3,-3,-3
7,-2,0,-2,0,-2,-2,-4,0
8,-3,8,32,8,2,-1,-1,-2
9,-1,-3,-6,-3,-3,-1,-1,-1
10,1,-3,-3,-2,-4,-2,0,1
11,-2,-8,-20,-3,-2,-4,-1,-2
12,-1,-3,-13,-2,0,2,-2,-1
13,-3,-5,-19,-3,0,-1,-1,-4
14,-1,1,-4,-1,-1,-3,1,0
15,-5,-12,-22,-7,-1,-1,-1,-2
16,1,-5,-7,-3,-2,-2,0,2
17,-3,-2,11,-1,-2,0,-2,-2
18,0,0,5,-1,-2,-1,-1,-1
19,-3,-4,2,1,1,-2,-2,-1
20,-3,-12,5,2,4,0,0,-1
21,-8,7,-17,-3,5,-2,-3,-9
22,2,4,0,-1,-4,-1,1,1
23,0,-5,-1,3,3,-1,-1,1
24,-1,-19,14,12,2,0,1,0
25,-2,9,12,-7,-6,-4,-2,2
26,2,10,-2,3,-1,1,-1,0
27,1,0,-6,-2,-4,2,10,2
28,-3,-3,0,4,3,-3,-10,-2
29,1,-7,-33,-8,-2,-2,-4,-5
30,-1,-3,35,-14,-4,2,-1,0
31,5,13,-21,-4,-8,-7,-13,-4
32,-3,-8,-2,2,1,-3,3,-2
33,-6,-33,-85,-14,-11,-15,-43,-19
34,-5,15,10,28,9,7,27,4
35,-2,-32,-66,-24,-5,3,14,2
36,-18,-43,13,-15,-6,-6,-8,5
37,-5,17,41,12,6,6,1,-9
38,25,44,21,10,20,9,4,12
39,16,55,24,-22,-11,12,43,24
40,0,-20,-10,9,-7,-1,52,27
41,14,14,12,24,15,17,77,43
42,-35,-42,-8,-22,-11,0,-52,-34
43,37,30,3,11,3,12,61,40
44,-6,-38,-15,-5,-7,-11,-41,-20
45,23,14,15,-1,-2,-12,-41,-12
46,-19,13,7,-1,-10,-4,3,-8
47,-22,-6,-8,13,12,-17,-76,-50
48,-9,9,-23,-44,-12,-8,-12,-5
49,-3,19,18,15,4,0,-13,-2
50,1,-3,-3,4,6,10,10,-2
51,-13,21,12,-20,-14,-42,-98,-70
52,13,6,-23,-66,-27,-2,-26,4
53,4,0,30,20,-4,-2,-3,0
54,-6,-33,16,14,-6,-17,-91,-46
55,-8,-26,-23,25,23,4,12,6
56,10,1,54,20,6,23,37,32
57,-12,1,36,15,-28,-25,-16,-12
58,4,4,-24,-50,-6,-1,-39,-31
59,1,-6,-126,8,15,-2,29,11
60,-7,-30,17,-1,-4,-22,-17,1
61,-44,-10,13,-17,-10,-7,-72,-87
62,3,-24,-6,7,-6,-36,-99,-36
63,47,5,3,47,42,35,81,58
64,17,34,-56,62,33,22,67,27
65,-3,33,77,1,-13,10,24,-3
66,17,-12,-41,-25,-7,4,7,-3
67,61,-8,10,-17,0,26,81,59
68,-19,-19,-37,-31,-39,-42,-44,-7
69,-39,-32,-38,-9,23,7,-27,-17
70,-11,18,-86,-5,21,4,-5,-3
71,-18,-16,14,37,0,-3,-2,-9
72,-8,12,2,-31,-19,-43,-94,-55
73,-24,-25,57,4,0,21,64,29
74,6,8,-32,7,-4,0,2,9
75,-24,7,29,1,0,0,-7,1
76,38,21,-24,13,17,30,113,69
77,20,-1,11,-34,-21,-26,-112,-43
78,-4,3,-2,6,1,-12,-42,-1
79,3,-25,-14,-5,14,5,8,-3
80,-5,15,-2,-7,-7,-15,-24,-13
81,-18,-47,-77,-2,11,0,12,-10
82,2,5,26,-23,-18,-27,-101,-49
83,-44,-4,3,-26,-21,-15,-27,-21
84,-15,-13,0,-36,-20,-7,-12,-17
85,9,3,4,10,18,26,61,24
86,0,4,-43,-8,-7,-14,-36,-24
87,34,25,29,-7,-5,23,70,42
88,-3,-38,-1,-10,-13,-28,-62,-50
89,14,104,9,41,16,26,76,42
90,-5,-44,0,1,-3,4,11,7
91,-34,-11,0,-6,-4,-2,1,-7
92,-22,27,13,-3,-4,-6,-2,-5
93,20,-10,-12,11,3,9,20,17
94,4,-18,9,-6,5,2,7,3
95,2,-11,12,19,8,1,-2,-5
96,8,-25,-7,-16,-1,10,16,12
97,1,2,3,-6,-3,-7,-11,-4
98,-3,-4,-44,2,1,-1,-6,-3
99,0,4,2,-9,-4,0,3,0
100,7,-10,7,2,1,-1,6,2
101,6,14,11,-5,-5,2,-29,-16
102,0,19,6,-5,-9,-3,13,4
103,-3,-12,-1,-7,-9,-7,-3,-2
104,-1,-18,1,-1,2,4,8,3
105,-8,30,-3,-5,-1,-1,4,3
106,-4,-18,-2,1,-2,-2,2,2
107,-4,-18,-6,-2,2,4,3,-1
108,-1,-14,4,-25,-14,-6,-2,-2
109,-1,-4,1,-2,-2,-2,0,0
110,1,2,1,6,2,2,0,2
111,3,2,6,3,2,-3,-2,0
112,0,7,2,5,2,-4,3,-2
113,-1,2,-8,-1,-1,-4,-7,-3
114,4,10,2,13,7,2,3,2
115,-6,-3,-18,-4,-5,-4,-1,-4
116,-5,4,30,-7,-7,-5,-4,-4
117,1,1,-5,4,1,-1,1,0
118,1,-7,-14,1,0,-1,0,0
119,0,-8,-2,-2,-1,-2,0,0
120,-1,2,9,-2,-1,0,0,0
121,1,1,34,4,2,1,1,0
122,2,-7,-21,1,0,3,2,3
123,-1,10,17,-4,-1,2,0,0
124,-4,-1,17,0,-3,-1,-2,-4
125,-3,0,22,-3,-4,-3,-4,-2
126,-2,3,-10,-7,-1,-3,-2,-2
127,1,11,13,14,6,5,2,1
128,-1,-2,-4,8,7,0,-2,-2
129,-6,-22,-50,-10,-4,-2,-2,-4
130,-9,1,9,-2,-3,-3,-3,-4
131,6,3,-12,6,4,-1,1,2
132,3,7,-3,1,1,2,1,1
133,2,7,-2,1,-1,-2,0,-1
134,2,-2,0,-1,-4,2,0,1
135,-2,-5,15,1,1,-2,-2,-1
136,-2,-8,-14,-3,0,0,0,-2
137,-12,-24,-2,-4,-4,-3,-3,-4
