1,0,0,0,0,0,0,0,0
2,2,0,-1,-9,-4,0,-1,0
3,0,-1,-2,-2,-6,-1,-1,-2
4,0,7,5,-2,-2,-1,0,-1
5,-2,-5,-4,0,-2,-2,-3,0
6,1,7,3,-1,3,2,0,-1
7,-1,2,-3,0,-1,-2,0,1
8,5,5,7,-8,-5,-2,-1,-2
9,1,1,5,0,-2,-2,1,0
10,-2,-1,1,0,0,-1,0,0
11,-1,-1,2,-1,0,0,-2,0
12,-2,-4,-2,1,-2,1,-1,-1
13,2,-2,-2,-1,0,0,2,-1
14,-2,-3,-4,1,3,0,0,-1
15,-1,1,1,-4,-3,-2,-1,0
16,6,7,4,10,-3,-3,1,2
17,-4,3,3,-5,0,1,0,-3
18,-6,-8,-8,1,-4,-2,-3,-2
19,2,-2,1,6,-3,-3,-5,-8
20,-4,-1,-24,-14,-1,0,2,-2
21,-4,-4,4,2,1,-2,-4,-1
22,0,0,6,3,-1,0,2,0
23,-3,-3,-1,-4,-3,-1,0,-1
24,1,6,6,4,-4,-3,-6,-2
25,-3,0,-7,-14,-6,-1,-3,-2
26,0,-2,12,21,9,3,-2,2
27,4,0,-10,-15,-4,0,17,4
28,2,5,3,-10,-2,0,-9,0
29,2,2,2,-3,-3,-2,-3,2
30,2,-3,-5,11,3,-2,-2,0
31,-9,-5,-7,7,0,-9,-31,-16
32,7,6,12,10,-2,5,26,7
33,-7,-1,-4,-24,-12,-4,-20,-14
34,-4,4,16,9,-3,0,20,5
35,17,3,12,-17,-1,-3,13,7
36,-14,7,9,2,3,2,4,4
37,-6,0,10,-14,-9,0,5,8
38,1,1,0,7,-1,-6,-27,-8
39,2,6,-10,-11,-4,2,2,1
40,-9,-4,3,5,-8,-9,-15,-16
41,15,-4,-4,-6,5,10,-20,5
42,3,-1,-4,-10,-3,-12,-32,-13
43,37,48,-11,-10,1,7,0,17
44,-2,8,4,-10,3,12,4,18
45,-13,-1,-11,-18,-17,-25,-80,-30
46,12,-9,2,24,3,4,32,17
47,-54,-45,-29,-12,-13,-4,25,-10
48,22,8,43,63,32,6,-9,3
49,12,2,-21,-15,-7,1,-3,0
50,-20,41,-15,-35,-15,-5,5,-10
51,-1,-24,2,6,0,-15,-42,-28
52,12,-20,11,24,7,-10,-32,-13
53,-7,-18,-21,16,11,-5,-53,-27
54,-35,-27,-6,-1,-4,8,32,19
55,-4,2,-11,-6,-19,-18,-6,-16
56,10,11,-28,12,4,5,3,0
57,-6,-12,-39,4,-12,0,4,4
58,-20,-9,-4,-10,-21,-25,-47,-37
59,-21,4,-66,-17,24,11,-17,-19
60,-28,-8,-35,10,12,13,26,18
61,-16,-19,3,-33,-13,-1,16,-11
62,58,9,-1,-4,-3,0,21,24
63,-42,-19,-22,-20,-5,-16,-60,-42
64,-3,-3,59,14,-3,-1,30,17
65,39,12,7,4,18,10,-23,-7
66,-37,-14,-49,24,0,-26,-33,-37
67,6,-15,8,-7,6,10,6,12
68,10,15,-80,14,18,17,51,20
69,-34,0,19,37,1,-29,-89,-43
70,-38,-70,20,29,-15,-14,-34,-26
71,1,13,69,6,-15,2,25,0
72,-35,7,-23,-21,7,2,-13,5
73,28,-4,-18,8,19,2,35,29
74,26,41,109,-43,-30,-11,11,-3
75,-10,8,-22,-31,-18,-19,-17,-8
76,12,7,6,10,1,-1,-20,-11
77,38,40,19,-17,-5,1,8,10
78,-70,-3,2,56,25,31,38,22
79,27,39,36,-42,-14,-3,7,6
80,-34,-36,-44,-5,17,4,16,-3
81,-9,19,42,-23,-44,-21,-17,-22
82,32,24,-23,39,17,-2,11,-7
83,-24,-1,13,-24,-28,-44,-82,-23
84,-12,-1,-15,-12,-2,-21,-51,-30
85,17,-28,-82,53,45,5,-7,-8
86,30,-11,-51,-78,-39,-11,6,-2
87,6,28,-36,73,22,2,14,-21
88,18,-9,-5,-12,-35,-30,-34,5
89,-61,-25,-12,-28,-5,-25,-60,-53
90,27,43,115,60,-17,5,57,13
91,47,-12,-12,27,21,20,55,37
