timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461663355621020,0,2,-2,-1,0,1,-2,-2
1461663355621020,-4,-5,-3,-2,-2,-1,-1,-1
1461663355630027,-2,-2,0,-1,0,0,-1,0
1461663355630027,2,6,-1,1,-2,-1,-2,0
1461663355636031,-2,-12,-3,0,-1,0,1,-1
1461663355636031,0,0,-2,-1,-1,0,0,1
1461663355653057,0,1,-1,-1,-4,-2,0,1
1461663355653057,2,1,3,-1,-2,-3,0,-2
1461663355654063,2,6,2,0,0,0,-1,1
1461663355654063,-2,-7,-3,-2,-2,1,-1,-1
1461663355668054,0,0,2,1,-2,0,-2,-2
1461663355668054,-2,-3,-2,-1,-1,-1,0,-3
1461663355674070,-3,-3,-2,0,-1,0,1,-1
1461663355674070,0,4,-1,-2,0,-3,-1,0
1461663355689917,1,2,0,-2,-3,-2,-1,-1
1461663355689917,-2,1,2,0,-1,-1,-1,0
1461663355696457,-2,-1,-1,0,-2,-2,0,-1
1461663355696457,-3,-5,-3,0,-1,0,0,0
1461663355712971,1,7,1,-3,-3,-2,-2,-1
1461663355712971,-5,-24,-6,0,-2,1,0,-2
1461663355714449,4,11,1,-1,-2,-2,-1,0
1461663355714449,-2,-3,2,-1,0,0,-1,-1
1461663355735963,2,6,6,0,0,-2,-2,0
1461663355735963,-3,-11,-4,-2,0,-2,-1,-2
1461663355737462,-4,-10,-20,-4,-2,0,-3,-1
1461663355737462,-4,-12,-12,-3,-3,-3,-2,-2
1461663355749477,0,4,4,0,0,1,0,-1
1461663355749477,2,11,3,0,2,-1,-2,-2
1461663355757964,-4,-3,3,1,-1,-1,0,-2
1461663355757964,2,8,1,-1,-1,-1,0,1
1461663355773034,-5,-4,-2,-2,-3,0,-1,-1
1461663355773034,-1,1,2,-2,-1,-2,0,-4
1461663355774992,-1,-3,-2,-2,-1,1,-1,-1
1461663355774992,2,8,-1,0,0,1,-1,0
1461663355787497,-2,-5,-2,-1,-1,0,-1,0
1461663355787497,-1,3,-1,-2,-1,0,-1,-1
1461663355795007,2,2,2,0,-1,-2,-1,-1
1461663355795007,3,0,2,0,-2,-2,1,0
1461663355810021,-2,-7,-5,-1,-2,0,-2,-1
1461663355810021,-1,3,-4,-2,1,-1,0,-1
1461663355816525,-5,-1,3,-2,0,2,0,0
1461663355816525,-1,-4,3,1,1,-1,-2,0
1461663355833076,0,-2,-4,-2,-1,-2,-2,-2
1461663355833076,-2,-2,-1,-1,-2,-2,-2,-2
1461663355834518,1,3,3,0,-1,-1,-1,-2
1461663355834518,-1,2,1,0,-2,0,-1,-1
1461663355847560,-4,-5,-7,-1,-2,-1,0,0
1461663355847560,-1,2,4,-1,-1,-1,-2,-2
1461663355854031,3,2,0,1,-1,-1,-1,1
1461663355854031,1,-7,-7,-1,-1,-1,-2,-1
1461663355870061,-1,-3,0,-2,-1,-1,-1,-3
1461663355870061,-6,-10,-4,-3,-3,0,1,-2
1461663355876605,0,-2,-2,-1,0,-1,-1,-1
1461663355876605,4,8,0,0,-2,-1,-1,-1
1461663355893060,-5,-15,2,-1,-1,-1,-2,-2
1461663355893060,1,4,-2,0,0,-1,-1,-1
1461663355895564,-2,2,-3,-2,0,-2,-1,-1
1461663355895564,-2,-3,-2,0,1,0,0,0
1461663355907175,2,4,4,1,0,-1,-1,1
1461663355907175,1,1,3,0,0,-2,0,-1
1461663355914225,-2,-12,-10,-3,-1,-3,-2,-3
1461663355914225,1,5,-3,-3,-1,-1,-2,0
1461663355929736,1,4,0,-2,-1,-1,-1,1
1461663355929736,-1,-2,-1,2,-1,0,-1,-2
1461663355936695,1,7,4,1,-1,-1,0,-1
1461663355936695,-4,-9,0,-1,0,-2,-2,-1
1461663355953201,0,4,0,-1,2,2,1,2
1461663355953201,-2,-5,-5,-2,-2,-3,-1,1
1461663355954703,0,0,0,-2,0,0,-1,-2
1461663355954703,-1,3,4,1,-2,0,-2,0
1461663355967706,-2,-3,-8,0,-2,-2,-1,-1
1461663355967706,-7,-8,-7,-2,-1,-1,-2,-2
1461663355981718,1,0,10,0,-1,-1,-1,-2
1461663355981718,-1,-3,2,-1,0,-1,-1,-1
1461663355989724,4,9,-11,-4,-1,-2,-1,1
1461663355989724,-2,-5,-5,0,-1,-2,-2,-3
1461663355996728,-3,0,25,1,-2,1,0,-2
1461663355996728,2,-3,-9,-3,-2,-1,1,-1
1461663356013237,-3,-11,-14,-1,-2,0,-1,0
1461663356013237,0,8,-4,-1,-1,0,-1,0
1461663356014754,-2,-6,-10,-3,-2,-2,-1,-3
1461663356014754,1,5,8,-1,0,-1,0,-1
1461663356027250,-1,0,2,1,1,-1,0,2
1461663356027250,-3,1,-2,-3,-1,-1,-2,2
1461663356041756,-3,-4,-5,-2,-2,-2,-1,-3
1461663356041756,1,6,3,0,-2,-1,-2,-2
1461663356049766,0,-3,-1,-1,-1,-1,-1,0
1461663356049766,2,5,7,-1,0,0,-2,0
1461663356056768,-2,-8,0,0,-2,-1,-3,-3
1461663356056768,-1,-2,-8,-1,1,0,1,0
1461663356073284,0,-2,6,0,1,0,0,1
1461663356073284,-2,1,5,-4,-3,0,-3,-2
1461663356074786,0,6,-7,-4,-2,-2,-1,-2
1461663356074786,-2,-2,3,-1,-2,-2,-1,-1
1461663356087294,-1,4,8,1,-1,-1,1,2
1461663356087294,1,2,-6,-2,-1,-2,-1,-1
1461663356094295,-2,-12,-11,-4,-3,-1,-1,-4
1461663356094295,-1,-1,-2,0,0,0,-2,-2
1461663356109805,-4,-4,-1,0,-1,-2,-1,3
1461663356109805,0,3,7,0,-1,-2,0,2
1461663356116810,0,-2,-5,2,0,-1,-2,-5
1461663356116810,-3,-3,-2,0,-1,-1,0,-2
1461663356132821,-3,-1,-7,-3,-3,0,-2,1
1461663356132821,-5,-2,1,0,-2,-1,0,-1
1461663356134822,1,7,8,3,-1,-2,-1,-4
1461663356134822,1,-4,-5,-1,0,-1,-2,-4
1461663356146831,-4,-7,-9,0,0,-1,-2,2
1461663356146831,0,4,-5,-2,-2,0,-1,0
1461663356155850,0,5,-2,-1,-1,-1,0,-3
1461663356155850,-1,-6,3,0,-1,1,-1,-3
1461663356169868,0,2,-1,0,-1,-1,-1,4
1461663356169868,-4,-9,-5,-2,-3,-1,0,1
1461663356176916,4,16,9,2,0,-3,-1,-1
1461663356176916,-1,-20,-21,-1,1,-2,0,-1
1461663356192863,-1,4,-6,-3,-1,0,0,0
1461663356192863,-8,-15,-8,-1,0,-1,0,-2
1461663356194865,-2,1,1,-1,-3,-2,-3,-5
1461663356194865,-2,0,6,-4,0,0,-3,-3
1461663356206940,0,-1,2,0,-1,0,-1,2
1461663356206940,0,3,-1,0,0,-1,-1,1
1461663356215949,2,-4,-5,-4,-1,-1,0,0
1461663356215949,-1,-1,-1,0,-2,-2,1,0
1461663356229962,-3,-2,2,-1,-2,-1,0,-4
1461663356229962,0,5,4,0,-1,-1,-3,-3
1461663356236459,-1,-2,-6,-2,1,-1,-2,3
1461663356236459,-1,-4,1,-1,-1,-1,1,4
1461663356260463,-1,-1,2,-1,-2,-2,-2,-4
1461663356260463,-1,-2,-2,2,1,-1,-2,-5
1461663356262481,1,0,0,-2,-1,-1,0,3
1461663356262481,4,5,-4,-2,-1,0,1,6
1461663356266984,-4,-5,-8,-2,-4,-1,-1,-8
1461663356266984,-2,5,-2,1,-2,-1,-2,-8
1461663356275494,-1,-10,2,1,-1,-1,0,4
1461663356275494,2,4,-5,-1,-1,0,-2,5
1461663356290005,-10,-14,-5,-3,-4,-1,0,-5
1461663356290005,-1,-2,-11,-2,-4,0,0,-8
1461663356296508,-3,-9,-1,-1,1,2,0,4
1461663356296508,-3,2,9,0,-2,-3,-1,3
1461663356313022,1,2,-2,-2,1,-2,-1,-3
1461663356313022,-3,-6,-4,-3,-2,-1,-3,-9
1461663356314522,1,7,-7,0,-1,-2,0,4
1461663356314522,4,4,4,2,0,0,-2,6
1461663356326529,1,4,-2,0,1,-1,-2,-7
1461663356326529,1,0,5,-1,-2,-2,-1,-4
1461663356343024,-7,-13,-10,-5,-2,-1,-1,2
1461663356343024,-2,3,2,-1,-2,0,-1,3
1461663356350046,-1,-1,-3,0,-3,-1,0,-3
1461663356350046,1,0,0,-4,-1,-1,0,-4
1461663356364096,5,5,-2,-1,-2,-3,-1,1
1461663356364096,-1,-5,-4,0,0,-1,-1,1
1461663356372635,-4,-4,1,0,-1,-1,0,-2
1461663356372635,-1,-4,-3,-1,-1,-1,-2,-3
1461663356379199,0,1,-3,-3,-1,0,-2,2
1461663356379199,2,2,0,1,0,-1,1,2
1461663356386644,0,-5,1,-2,-1,0,0,-3
1461663356386644,-2,8,3,-1,-2,-1,-1,-2
1461663356395665,-4,-10,1,0,-1,0,1,-1
1461663356395665,0,0,4,-1,-2,-2,-1,1
1461663356409813,1,4,7,0,1,-1,-2,-2
1461663356409813,-2,-2,6,3,1,-1,0,-3
1461663356416815,-3,-10,-12,-4,-2,-1,0,-1
1461663356416815,0,3,-1,-3,-2,0,-1,1
1461663356432341,0,0,-1,-1,-3,-2,-2,-1
1461663356432341,1,-5,-3,-5,-2,-1,-2,0
1461663356439301,1,2,10,4,3,0,-1,0
1461663356439301,-3,-5,15,-2,-3,-1,0,-2
1461663356446305,1,3,2,-2,-3,-1,-1,-2
1461663356446305,-4,-4,1,0,-2,0,-2,-3
1461663356455314,2,-1,-6,0,1,0,0,-2
1461663356455314,3,14,-2,-1,0,-1,-1,1
1461663356469338,-3,-5,7,-1,-1,-2,-1,-1
1461663356469338,-4,-16,-7,-1,0,-2,-2,-2
1461663356476389,-1,3,-1,-2,-2,0,-1,1
1461663356476389,-1,-2,2,1,0,-1,0,0
1461663356492336,1,7,7,-4,-5,-2,-2,-3
1461663356492336,-2,-12,-12,0,4,0,0,-1
1461663356499404,1,3,-2,-2,-2,-1,1,1
1461663356499404,-5,-10,-1,0,1,0,-1,1
1461663356506347,-4,-3,2,1,-1,-2,0,-1
1461663356506347,1,7,12,1,-2,-3,-1,-3
1461663356515359,-3,-12,-15,-1,-2,-1,-2,-1
1461663356515359,-2,0,-2,-2,1,-1,0,-1
1461663356529396,-3,-7,1,-3,-1,-2,-3,-3
1461663356529396,2,5,2,1,-2,-1,-1,-4
1461663356536376,0,6,5,0,-1,-1,0,2
1461663356536376,1,-8,-2,1,0,-1,1,0
1461663356552387,-1,-2,-9,-2,-1,-1,-3,-2
