timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461661600571854,-3,9,5,-3,0,-3,-1,-2
1461661600571854,0,4,-10,0,0,1,-2,0
1461661600578859,-3,-9,-4,0,0,-2,-1,-1
1461661600578859,-1,0,3,-1,-2,1,-2,0
1461661600593869,0,2,4,0,-1,-2,-1,-2
1461661600593869,1,5,12,-1,-3,-2,-2,-2
1461661600602875,-1,-6,-6,0,-1,1,0,0
1461661600602875,0,-1,-25,-3,-2,-1,5,14
1461661600617707,0,-5,9,1,0,-3,-1,6
1461661600617707,-2,1,7,-1,0,-3,-5,-14
1461661600618708,-1,-2,-12,-2,-2,-1,-1,-3
1461661600618708,-4,-6,1,-4,-4,-3,-3,-8
1461661600632217,0,2,0,0,-1,1,3,7
1461661600632217,0,4,14,1,-1,0,1,6
1461661600639723,1,5,4,-1,-2,0,-3,-7
1461661600639723,-1,4,-3,-2,2,0,7,12
1461661600654733,-8,-32,-18,-3,-2,0,-5,-8
1461661600654733,-1,-3,16,2,-1,1,-2,-12
1461661600662739,1,4,-2,-1,-2,-2,-2,9
1461661600662739,1,-4,6,1,-1,-1,-3,-5
1461661600677750,0,-3,-2,-2,0,-1,-1,0
1461661600677750,0,-10,-20,1,-1,-1,0,2
1461661600678763,-2,3,14,1,0,0,1,1
1461661600678763,-4,-15,0,-1,-2,-2,-3,-5
1461661600692261,3,22,-15,-2,1,-1,-2,-4
1461661600692261,-6,-24,-43,-7,-2,-1,0,2
1461661600699766,-1,7,42,3,-2,-3,-2,-3
1461661600699766,2,12,20,6,1,-3,-2,-2
1461661600714777,3,5,14,2,-1,0,-1,-4
1461661600714777,-2,1,-23,-3,1,0,13,33
1461661600722783,-6,-19,-32,-7,-2,-2,-14,-42
1461661600722783,5,23,20,1,-1,-1,-4,-10
1461661600737805,-1,-17,-22,-3,-1,-2,0,-3
1461661600737805,1,-10,-26,-4,-2,-2,3,11
1461661600738808,-2,8,42,1,-3,-1,2,2
1461661600738808,-6,-7,-31,-3,-2,0,-7,-27
1461661600752303,4,7,8,-2,0,0,-1,12
1461661600752303,1,-3,-5,1,-1,0,-1,2
1461661600759822,-3,3,-1,-1,-1,-1,3,12
1461661600759822,-1,-4,3,1,0,-1,-1,0
1461661600774822,-5,-16,-1,-2,-3,-2,-2,-4
1461661600774822,-2,0,-14,-3,-1,-1,-2,-14
1461661600782339,6,13,12,1,1,-1,-1,4
1461661600782339,1,6,8,-2,-1,-1,-2,1
1461661600797895,-4,-12,-7,3,-1,-1,6,17
1461661600797895,2,9,16,1,0,-1,-5,-7
1461661600798336,0,-5,-6,0,1,-1,1,-8
1461661600798336,-2,-2,10,-2,-1,1,13,24
1461661600812367,6,15,9,1,-2,-2,-16,-26
1461661600812367,-5,-6,9,2,-1,-2,0,0
1461661600819872,-3,2,-9,-6,-2,0,5,7
1461661600819872,-3,-12,-26,0,-1,-3,-12,-8
1461661600834083,0,6,4,-2,0,-1,5,12
1461661600834083,1,10,13,4,-2,-1,-5,-7
1461661600851090,2,-9,2,0,-2,-1,1,9
1461661600851090,-4,-7,-22,-3,-1,-2,0,-2
1461661600859117,-4,8,-2,1,-1,-2,-1,-8
1461661600859117,-2,-6,-12,-6,-1,-2,-3,-4
1461661600865121,-2,-1,-5,1,0,0,0,-1
1461661600865121,-1,-11,12,-1,-1,1,8,23
1461661600872126,-10,-5,-15,-2,-3,-4,-16,-51
1461661600872126,5,17,12,-3,-3,1,10,25
1461661600879131,4,0,-2,3,-1,-1,-13,-11
1461661600879131,1,0,15,0,-1,-1,-4,-7
1461661600894130,-3,-10,-35,-5,-3,0,4,9
1461661600894130,-3,7,30,4,0,2,14,38
1461661600902136,-2,-11,-25,-4,-2,-2,-21,-39
1461661600902136,4,3,4,-2,-1,-1,0,6
1461661600917129,-1,1,11,-1,0,-1,0,-2
1461661600917129,0,-6,-5,-1,1,-1,-5,-11
1461661600918130,-2,5,-16,1,0,0,10,14
1461661600918130,2,-6,-10,-2,-1,0,0,7
1461661600932151,0,-7,9,-1,0,-2,-7,-27
1461661600932151,0,12,-37,3,-1,0,-3,-15
1461661600939146,-1,-5,21,-2,-2,1,1,-1
1461661600939146,-4,-5,14,2,-2,-1,1,-7
1461661600954167,2,8,2,0,-1,0,5,20
1461661600954167,3,2,19,2,0,0,-4,-8
1461661600962172,0,-6,-20,-3,1,0,6,0
1461661600962172,-7,-5,-27,-4,-1,-3,-6,-19
1461661600977183,3,-3,5,-1,-2,-3,0,20
1461661600977183,8,14,-4,1,1,1,4,16
1461661600978171,-2,-28,-13,-4,-2,-3,-3,7
1461661600978171,-3,-13,6,-2,-4,-2,-1,-5
1461661600992220,-6,-13,-3,-3,0,1,-1,-7
