timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461662314794215,-2,-3,0,-1,0,0,-1,-1
1461662314794215,3,5,0,1,1,-3,-1,-2
1461662314802217,0,5,5,4,1,-1,-1,1
1461662314802217,-6,-7,-3,2,2,-3,-2,-3
1461662314818229,1,3,6,-3,-1,-2,0,0
1461662314818229,2,8,-1,-2,-1,1,-1,3
1461662314818229,-5,-10,-2,-1,-1,-1,0,-3
1461662314818229,-1,-7,-5,-3,-3,0,-4,1
1461662314832238,1,-5,-11,-9,-5,-1,-1,0
1461662314832238,-2,2,6,6,2,0,-3,0
1461662314839261,-3,1,-4,1,1,-2,-2,-2
1461662314839261,-2,4,3,-2,0,0,0,0
1461662314854254,-2,-3,3,3,1,1,1,-1
1461662314854254,-2,0,-2,-6,-5,0,-1,-1
1461662314862296,3,2,-3,-1,-2,-3,0,0
1461662314862296,-1,-3,-9,0,-1,-3,0,-1
1461662314877782,-2,0,5,-3,-1,0,-3,1
1461662314877782,0,1,4,1,1,-1,0,-1
1461662314878783,2,-2,-3,0,-1,-1,-1,0
1461662314878783,-2,-4,-6,-1,-3,-1,1,-1
1461662314892317,-2,2,2,-2,0,-1,0,1
1461662314892317,-3,-4,-4,-4,-2,-1,-2,-1
1461662314899783,-1,-2,6,-4,-1,-3,-2,-2
1461662314899783,-2,2,-2,-1,1,-1,-1,0
1461662314914808,-1,1,-3,1,0,0,-1,2
1461662314914808,-1,-4,0,0,-1,1,1,-3
1461662314922309,2,-4,-4,-4,-3,0,-1,0
1461662314922309,-1,3,8,-1,-1,-2,-1,-1
1461662314937870,-2,2,-9,-2,-1,0,0,-2
1461662314937870,-1,-11,-1,-1,-2,-3,-1,0
1461662314938811,-3,-2,2,5,1,-1,-3,-4
1461662314938811,0,1,4,1,-2,0,0,-2
1461662314952321,-2,2,0,-1,1,-1,0,0
1461662314952321,4,1,-4,-2,-1,-2,-1,1
1461662314959885,-3,-4,-3,-5,-4,-2,-1,-3
1461662314959885,3,1,0,0,-1,-1,0,1
1461662314974838,-3,0,-2,0,-2,2,3,-1
1461662314974838,-1,0,-1,-1,0,0,1,2
1461662314982344,-1,-9,-17,-5,0,-2,1,-4
1461662314982344,-2,3,8,-5,-2,-2,0,-3
1461662314998356,-1,0,0,1,-1,-1,0,-1
1461662314998356,0,-4,-2,5,0,3,2,4
