timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461662909195626,-1,-1,-1,-2,-1,-1,-2,-1
1461662909195626,3,6,1,1,0,-2,-1,0
1461662909201651,-7,-6,-4,-2,-2,-1,0,-4
1461662909201651,-1,-3,-1,-2,-1,-1,0,1
1461662909208656,-4,-4,0,1,-1,0,0,0
1461662909208656,-3,-1,3,2,1,-3,-3,-4
1461662909216653,2,1,-1,0,0,-2,-1,1
1461662909216653,0,9,-2,-4,-3,0,-2,-2
1461662909225660,1,-9,-2,-1,0,-1,-1,-1
1461662909225660,2,11,-6,-3,-2,0,1,1
1461662909239658,-3,-6,-2,-1,1,-2,-1,-1
1461662909239658,-3,0,-3,-2,0,-1,0,-1
1461662909247663,4,1,3,3,-1,0,-1,-1
1461662909247663,4,2,6,2,-1,-1,-1,-1
1461662909261478,-3,4,1,0,-1,-1,-2,-1
1461662909261478,-3,-10,-2,-1,0,-1,0,-2
1461662909268970,-2,-4,-2,-5,-1,1,-1,0
1461662909268970,0,-6,-4,-3,-1,-1,0,3
1461662909284493,2,7,0,0,2,0,0,-1
1461662909284493,-1,-2,1,2,1,-2,0,-1
1461662909285494,1,12,-2,-2,-4,-1,-2,-2
1461662909285494,-6,-11,-3,-1,-2,1,0,0
1461662909300505,1,-1,-3,-2,0,0,-2,-2
1461662909300505,1,2,0,-1,-1,-1,-2,-1
1461662909306557,0,-1,2,0,1,-2,0,2
1461662909306557,-7,-7,-3,-3,-1,-2,0,-1
1461662909321565,1,4,-2,-2,-3,-1,0,1
1461662909321565,1,5,1,2,1,0,0,0
1461662909329105,-3,-12,-4,-1,-2,0,1,-1
1461662909329105,2,-1,-4,-3,-1,-2,-2,1
1461662909344645,-3,-12,-3,-2,-1,0,0,-2
1461662909344645,-5,2,-1,0,-1,-2,-1,-2
1461662909345619,0,5,-1,-2,-1,-2,-2,-1
1461662909345619,-2,-1,0,2,0,1,-2,-2
1461662909360632,1,-4,0,-1,-2,-1,-2,0
1461662909360632,2,3,3,0,-1,-1,-3,0
1461662909366657,-1,1,-3,-1,-1,-1,-1,0
1461662909366657,-1,-1,-3,-3,-1,-1,1,0
1461662909381643,-5,-1,0,-1,-2,-1,-3,-2
1461662909381643,3,-1,-1,0,1,0,-1,-1
1461662909389174,0,7,1,1,1,0,-1,-1
1461662909389174,0,-4,1,-1,-1,-2,-2,-1
1461662909404672,0,-5,2,0,-2,-2,0,1
1461662909404672,-3,-6,1,1,2,2,-2,-1
1461662909405673,-4,-9,-4,-1,-1,-1,-2,-2
1461662909405673,0,7,-2,-1,-1,-2,-2,-1
1461662909420671,1,4,-3,0,-2,-2,-1,1
1461662909420671,0,-6,-1,-2,-2,-2,-2,-2
1461662909426734,0,4,2,-1,-4,-1,1,-2
1461662909426734,0,0,0,0,-2,1,-1,-3
1461662909441743,-2,-4,-1,0,1,-2,-2,-2
1461662909441743,-2,1,-4,-3,-2,-2,-3,-2
1461662909449205,1,-7,-2,-1,0,1,-2,0
1461662909449205,-3,1,-8,-4,-3,-3,-2,-3
1461662909472208,-1,3,2,2,-1,0,0,-1
1461662909472208,-6,-20,-6,0,-2,-3,-1,-3
1461662909473209,-2,1,2,0,-2,-1,-1,0
1461662909473209,0,-2,2,-1,-2,0,-3,-1
1461662909480712,2,1,-3,-1,-1,0,-1,-1
1461662909480712,3,14,2,0,-2,1,1,1
1461662909486734,-1,-7,-2,1,1,-1,-2,-2
1461662909486734,-3,-5,-4,-3,-1,0,-2,-2
1461662909504229,-3,5,-1,-1,-1,-2,-1,-2
1461662909504229,0,4,-1,-1,-2,-3,0,0
1461662909509248,-1,-1,0,1,-2,0,0,-1
1461662909509248,-2,-8,2,0,-1,-1,-1,0
1461662909524756,-2,-2,-2,-1,-2,1,0,-2
1461662909524756,-3,-1,-1,-1,-2,0,-1,-3
1461662909525258,1,11,-1,-4,-1,1,-1,-1
1461662909525258,-8,-23,-3,0,-1,-2,0,-2
1461662909540767,-1,-3,-1,-2,1,0,-2,-1
1461662909540767,1,-6,3,1,-1,-1,0,0
1461662909546759,2,18,0,0,-1,-2,-2,1
1461662909546759,0,3,0,1,-1,-1,-2,-1
1461662909561773,-3,1,1,0,2,-1,-1,-2
1461662909561773,0,-3,-2,-4,-1,0,-2,-1
1461662909569286,-4,-10,-3,-2,0,-2,0,-3
1461662909569286,0,1,2,-1,-2,-2,-2,0
1461662909584799,0,-4,-2,-2,-2,0,0,0
1461662909584799,1,6,-1,-2,-1,-1,-1,-1
1461662909585786,-1,1,-3,-1,-1,-2,-1,0
1461662909585786,3,3,0,-2,0,-2,-1,-2
1461662909600810,1,1,3,1,-2,-2,1,-2
1461662909600810,-4,-12,-3,0,1,0,1,-1
1461662909606341,-6,-4,-6,-4,1,-3,-2,-4
1461662909606341,2,8,1,1,1,0,1,0
