timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461663441221576,1,0,-2,-4,-3,-1,-1,-1
1461663441221576,2,0,0,-6,-2,-1,-1,4
1461663441236679,0,5,2,-1,-3,-2,-3,0
1461663441236679,-1,-4,-2,0,-2,-1,-2,-4
1461663441244686,1,0,-1,7,3,0,0,1
1461663441244686,-8,-12,-5,-4,-1,2,1,3
1461663441259709,-3,3,2,4,-2,0,-2,-4
1461663441259709,-6,-4,-4,-11,-5,-3,-3,-3
1461663441260696,-1,-2,-3,-4,-4,-2,0,-1
1461663441260696,2,-1,0,5,2,0,2,-1
1461663441274006,-1,-2,-3,-4,-1,-2,-2,-1
1461663441274006,-2,0,0,-1,0,-2,-1,-4
1461663441282012,2,2,-1,-5,-3,0,0,1
1461663441282012,2,3,1,0,1,-2,-5,2
1461663441296524,0,3,0,2,-1,-4,-2,-4
1461663441296524,-2,-3,-1,0,0,0,-1,-1
1461663441304526,-1,-3,-1,-3,-1,0,0,0
1461663441304526,-3,-1,0,-2,-1,0,-2,-1
1461663441319537,0,-1,0,-1,-2,0,-2,-1
1461663441319537,-1,2,0,5,1,0,2,-1
1461663441320539,-4,-3,-2,-1,-3,0,-1,1
1461663441320539,1,-3,-1,4,0,-1,0,1
1461663441334047,-3,-3,-2,-7,-3,-1,-3,-2
1461663441334047,2,1,2,1,0,0,0,-2
1461663441342616,-7,-12,-4,0,4,-1,1,0
1461663441342616,-1,1,1,2,-1,-2,0,0
1461663441356575,2,-1,-1,-1,-2,-2,-1,-3
1461663441356575,0,3,0,-3,3,1,-1,-1
1461663441364598,0,0,-1,-3,-2,-1,-1,-2
1461663441364598,-2,0,0,0,0,-1,0,0
1461663441388098,1,-3,-4,-1,0,-2,-1,-2
1461663441388098,-2,-5,-2,-2,0,-1,-2,-1
1461663441388599,2,1,-1,1,-1,1,1,1
1461663441388599,-1,-2,0,0,-2,-2,-4,-3
1461663441394148,-1,0,-1,-1,-1,0,1,-2
1461663441394148,1,1,1,0,-1,-3,-1,0
1461663441402109,2,4,-2,-2,-1,-1,0,-2
1461663441402109,-7,-16,-4,-5,-2,0,1,-1
1461663441416665,-5,-1,-4,0,-4,-1,-3,-3
1461663441416665,1,1,0,4,1,-2,-1,0
1461663441424670,-7,0,3,0,-1,-1,-1,0
1461663441424670,0,6,-4,-6,-3,-2,-1,0
1461663441448151,-4,-9,-2,-2,0,0,-1,-2
1461663441448151,-1,1,-3,-4,-2,-2,0,0
1461663441448633,-1,-10,-5,-5,-5,-3,-3,1
1461663441448633,2,5,4,9,3,1,1,-3
1461663441454153,-2,0,-1,-3,-1,0,-1,0
1461663441454153,-1,-1,2,4,1,1,1,-1
1461663441462144,-4,-4,-4,-3,-3,-2,-1,-2
1461663441462144,-2,2,0,-8,-2,0,-1,-2
1461663441476836,0,5,-1,2,0,-2,1,-2
1461663441476836,2,1,1,2,2,0,-2,0
1461663441484822,-1,4,1,0,0,0,1,1
1461663441484822,3,-3,-1,0,-1,0,1,-1
1461663441499832,-1,0,1,-1,-1,0,-2,-2
1461663441499832,-2,-8,-6,-9,-5,-1,0,-1
1461663441500833,0,3,-1,2,0,0,-2,0
1461663441500833,2,5,-1,0,2,0,0,0
1461663441513854,-3,-11,-4,-1,-2,-1,-2,0
1461663441513854,0,-1,-2,-1,-2,-2,-3,-3
1461663441521886,1,0,3,0,1,-1,0,1
1461663441521886,1,-1,-5,-4,-4,-2,-2,-1
1461663441535852,4,5,2,3,1,-1,0,0
1461663441535852,-1,0,-3,-1,-2,-2,-2,1
1461663441544902,-1,-3,-1,-1,-1,-1,0,-2
1461663441544902,1,0,-3,-7,-1,-2,0,1
1461663441559921,-3,-4,-3,2,0,-1,-1,-2
1461663441559921,-1,2,3,1,2,1,2,0
1461663441559921,4,6,1,3,2,0,2,-1
1461663441559921,-1,-10,1,1,-3,-5,-6,-2
1461663441573928,-2,3,-2,-2,-1,-1,-2,-1
1461663441573928,0,1,-3,-3,0,-1,-2,-1
1461663441581882,-6,-11,-3,-2,-2,-1,-1,-2
1461663441581882,2,8,4,-2,-2,0,2,-1
1461663441596910,-1,-4,1,12,8,0,1,-1
1461663441596910,0,4,0,-2,-3,-1,-1,-1
1461663441604916,0,-2,-1,-5,-2,-2,-2,0
1461663441604916,-5,-11,-12,1,-2,0,1,-1
1461663441619928,-1,1,-1,-6,-4,-3,-1,-3
1461663441619928,1,-3,-4,-5,-2,-1,-1,0
1461663441619928,2,7,10,10,6,1,5,-1
1461663441619928,-2,-6,-9,-2,-1,-3,-2,-2
1461663441633926,0,5,3,-6,-3,-4,-5,-2
1461663441633926,1,6,4,3,3,0,0,2
1461663441641914,-3,-19,-8,-3,-5,-3,-5,-3
1461663441641914,-4,1,2,-3,1,0,1,-1
1461663441656926,-4,-9,-3,2,-4,-1,3,-3
1461663441656926,-2,0,-3,-8,-4,-2,1,2
1461663441664932,1,6,0,-10,-1,-1,-14,1
1461663441664932,1,6,8,10,3,0,-2,-1
1461663441678968,4,2,-2,-4,0,-1,-3,-5
1461663441678968,-5,-6,1,2,-1,-1,5,-1
1461663441687947,-3,-3,-6,-8,-5,-3,1,2
1461663441687947,1,2,1,0,-1,1,-4,1
1461663441702959,-4,-8,-1,-1,0,0,1,-4
1461663441702959,-1,-3,-3,-2,-4,-1,-2,-1
1461663441703959,0,0,3,7,5,0,3,1
1461663441703959,2,9,4,-3,-1,0,0,-2
1461663441715996,2,-3,-6,-5,-3,-1,-1,-3
1461663441715996,-6,-13,-4,1,0,-1,-2,-1
1461663441731039,1,7,-1,-1,-2,0,2,2
1461663441731039,-4,-3,3,2,-1,0,0,-2
1461663441739011,-2,2,-5,-11,-4,0,1,-2
1461663441739011,-1,-5,-2,3,3,-1,-3,-2
1461663441748018,0,3,-1,-3,1,0,3,1
1461663441748018,-1,2,-1,-1,2,-2,2,1
1461663441753999,0,3,9,8,-1,-1,-2,-3
1461663441753999,-4,-10,-15,-10,-3,-3,-2,0
1461663441764000,2,-1,4,10,3,0,0,-1
1461663441764000,-1,-4,-3,-7,-2,0,1,-1
1461663441776022,-3,-4,-5,-7,-5,-4,-5,-4
1461663441776022,-4,-1,3,3,0,1,-1,1
1461663441785017,-1,3,-1,-1,-1,0,1,1
1461663441785017,1,-7,-4,4,1,-2,-1,-2
1461663441799024,-2,3,3,0,-1,-1,-2,-2
1461663441799024,-1,2,2,-3,0,-1,0,1
1461663441816039,3,8,0,3,-4,-3,-2,2
1461663441816039,3,8,5,-5,-1,1,0,-2
1461663441817053,-10,-25,-12,3,-1,0,0,-2
1461663441817053,1,0,-3,-7,-2,0,-3,1
1461663441823056,-5,-5,-2,4,4,-2,-2,1
1461663441823056,1,0,2,-2,0,-1,-1,-1
1461663441836065,5,10,5,7,1,-1,-1,-4
1461663441836065,1,3,1,-2,-3,1,0,-1
1461663441846057,1,-1,-1,-6,-4,-1,0,3
1461663441846057,-5,0,2,1,-1,-1,2,1
1461663441859083,-1,-2,1,-2,-1,-1,-4,-5
1461663441859083,2,3,0,1,1,-1,9,0
1461663441868077,-5,-7,-3,-8,-8,-3,-9,-1
1461663441868077,2,-1,0,6,2,0,-4,-1
1461663441874109,1,-5,-9,-7,-1,2,0,-2
1461663441874109,-3,-3,1,2,-1,-3,-3,-5
1461663441883101,-5,1,4,4,3,0,4,3
1461663441883101,-1,-4,-4,0,-2,-1,-1,1
1461663441896152,0,1,3,-1,-2,-1,0,-5
1461663441896152,-2,-10,-5,0,-2,-1,-4,-1
1461663441905099,-2,5,2,-2,-2,0,0,3
1461663441905099,-3,-11,-7,4,4,0,-2,0
1461663441919168,3,0,4,-5,-1,-3,0,-3
1461663441919168,-6,-5,-4,-9,-4,-2,0,-2
1461663441928116,-2,-2,3,13,-1,-3,-6,0
1461663441928116,1,-6,-1,0,4,2,0,0
1461663441934135,-3,5,4,0,-2,-2,-2,-6
1461663441934135,-1,-14,-16,-3,-1,1,-3,-2
1461663441943141,-4,-4,-6,-10,0,-1,4,2
1461663441943141,1,3,-1,-4,-4,-2,2,0
1461663441957174,1,4,2,-2,-1,0,-1,-1
1461663441957174,-3,7,10,1,-3,-2,-3,0
1461663441965146,1,-1,-2,-2,-1,1,2,-1
1461663441965146,-1,0,2,6,0,-1,-2,0
1461663441979153,0,4,1,-6,-3,2,11,0
1461663441979153,2,7,4,4,0,-1,-11,0
1461663441988159,-1,-5,-9,-9,-4,-2,-4,-3
1461663441988159,-4,-5,4,-1,-3,-2,-1,-4
1461663442002197,3,6,-5,-1,2,2,1,0
1461663442002197,-2,-6,2,14,6,-2,0,1
1461663442009201,3,6,3,4,5,0,1,2
1461663442009201,-2,-2,-5,-2,-2,-2,-1,-2
1461663442016193,-2,-3,-10,-7,-3,-2,0,-2
1461663442016193,3,4,-2,-11,-6,0,7,1
1461663442025199,3,1,6,3,0,0,-2,0
1461663442025199,-3,-1,3,2,5,-1,-7,-4
1461663442039233,-2,0,-10,-1,-1,-1,0,-3
1461663442039233,4,2,1,12,12,2,3,4
1461663442048215,-3,-3,-4,0,-3,-2,0,0
1461663442048215,-1,4,1,-10,-8,-1,-1,-1
1461663442062249,-4,-3,-1,-8,-5,-4,-5,-4
1461663442062249,-5,-9,-6,-3,-1,1,0,-1
1461663442064213,-2,0,3,3,-1,1,2,2
1461663442064213,0,4,-2,1,2,0,0,-2
1461663442085241,-6,-9,-4,-8,-7,-2,-4,-4
1461663442085241,-2,8,5,-3,-4,-3,7,5
1461663442087231,2,-4,-3,-12,-5,-3,-17,-2
1461663442087231,-4,-10,-12,4,1,-2,-6,-4
1461663442099254,-3,-3,-1,-10,-4,-2,-6,-3
1461663442099254,-1,-7,1,19,4,0,-2,-2
1461663442108258,-1,10,9,-3,3,0,6,0
1461663442108258,2,5,4,-1,-4,-3,2,0
1461663442122313,-1,-8,-3,7,2,-1,-1,0
1461663442122313,6,3,-4,-9,-5,-1,0,1
1461663442124254,-1,-6,-5,-6,-6,-2,1,-1
1461663442124254,1,4,-2,-10,-7,-1,-2,-1
1461663442136291,-2,-5,1,7,9,2,1,-1
1461663442136291,0,3,-1,6,3,1,0,2
1461663442145273,8,6,-4,-1,-1,-5,-5,1
1461663442145273,0,-2,0,-5,-3,-3,-4,-3
1461663442159308,-5,-1,-1,-10,-6,-1,9,2
1461663442159308,-8,-4,5,10,9,5,-4,0
1461663442168305,-2,-10,-4,-2,4,7,8,-2
1461663442168305,6,6,6,-1,-7,-2,-13,-3
1461663442182296,0,-1,-1,15,6,-2,-14,-6
1461663442182296,2,6,-4,-21,-14,-8,7,3
1461663442184299,5,0,-3,16,7,-3,-11,0
1461663442184299,-3,1,2,-6,-4,-5,1,-4
1461663442196306,-4,-10,-3,5,4,0,-4,-1
1461663442196306,-4,-2,-5,-12,-4,-2,-6,0
1461663442205312,1,4,-1,-7,-11,-4,3,-1
1461663442205312,1,1,6,15,12,5,7,1
1461663442218332,3,5,-4,-6,-1,1,4,1
1461663442218332,-1,-4,3,10,7,2,0,1
1461663442228326,-4,1,-7,-2,-2,0,10,0
1461663442228326,1,-3,-6,-19,-4,1,8,1
1461663442242337,-8,-20,-4,-2,-7,-4,-9,-6
1461663442242337,3,5,1,8,2,-2,-8,-1
1461663442244338,0,4,-2,-6,-3,0,-4,-2
1461663442244338,0,-3,-7,-12,-6,1,18,2
1461663442256348,7,5,5,6,2,-1,1,5
1461663442256348,-11,-12,-2,-8,-6,-3,-30,-8
1461663442265353,-15,-8,3,-1,-6,-7,-2,-9
1461663442265353,-1,12,-4,11,9,8,8,-7
1461663442278362,10,0,-1,0,-3,-1,8,5
1461663442278362,-2,-1,-9,-24,-9,-9,-12,12
1461663442287369,4,16,13,46,12,-7,-27,-1
1461663442287369,-6,-8,18,-5,-17,-11,1,-8
1461663442310386,2,11,-20,-3,6,6,2,-1
1461663442310386,-13,-5,-9,-7,7,5,24,0
1461663442311388,-7,-11,-6,-7,0,12,34,10
1461663442311388,13,2,-20,-29,-14,-2,-24,-4
1461663442316390,-16,-14,8,49,17,-7,-24,-15
1461663442316390,9,17,11,-25,-4,-1,-12,3
1461663442325396,-15,-16,5,-6,-1,-2,10,-2
1461663442325396,-4,25,10,26,12,6,27,-1
1461663442338406,4,-14,-19,-10,1,1,-16,-1
1461663442338406,-2,20,5,11,0,-1,-2,2
1461663442347415,-11,-29,-12,-9,2,3,-8,3
1461663442347415,4,6,-6,-31,-22,-13,-25,-14
1461663442361425,16,23,14,-3,1,9,6,-7
1461663442361425,-3,9,12,25,8,5,12,2
1461663442370428,0,8,-5,-13,-14,-14,-10,8
1461663442370428,0,-11,-5,-9,-3,-11,-22,16
1461663442376434,3,13,3,-23,-32,-18,-37,-19
1461663442376434,21,6,-6,-1,17,14,10,7
1461663442393445,6,11,4,-9,7,3,14,-4
1461663442393445,-25,-20,19,51,13,-14,-21,-7
1461663442399450,-30,-15,-19,-1,-11,6,73,6
1461663442399450,6,14,1,-37,-16,13,-15,12
1461663442407474,24,-8,-10,11,-4,-4,-39,-12
1461663442407474,-2,-5,30,40,7,-14,-41,-19
1461663442421483,3,-1,-35,-49,-12,-8,-14,-5
1461663442421483,2,5,32,18,7,21,60,18
1461663442430473,-12,23,-13,20,22,16,26,10
1461663442430473,10,-6,8,50,24,-3,-17,-4
1461663442436488,-19,-69,33,8,-13,-6,5,2
1461663442436488,4,-26,-49,-55,-22,3,48,8
1461663442445496,-5,22,-11,-53,-22,-2,-37,-18
1461663442445496,14,-11,16,20,-4,-5,-32,-27
1461663442458550,-3,24,-7,-4,18,6,-11,-7
1461663442458550,9,-40,-8,18,-3,-19,-26,-1
1461663442467555,-24,-10,12,9,-5,-11,6,7
1461663442467555,-4,-20,-17,-27,-18,6,27,6
1461663442481565,14,-15,-8,-35,-15,-11,28,7
1461663442481565,-30,-18,14,5,-4,-13,-49,-12
1461663442490514,52,17,9,16,7,8,27,7
1461663442490514,-9,8,-45,-13,-16,-9,-5,3
1461663442496552,13,53,37,4,5,-11,-37,0
1461663442496552,-18,1,-16,46,30,-11,-8,-8
1461663442505554,3,-78,-18,22,2,0,1,-12
1461663442505554,10,-40,-1,-39,13,47,123,24
1461663442518563,14,112,41,49,21,36,47,27
1461663442518563,-15,63,11,-14,-20,-11,-36,-38
1461663442527557,28,42,5,-10,8,0,-59,-11
1461663442527557,13,20,-30,-47,-11,-26,-47,18
1461663442541549,-3,-30,23,90,11,-24,-14,12
1461663442541549,-28,-34,-5,15,17,24,102,20
1461663442550574,-47,-52,-13,-92,-47,4,-25,-20
1461663442550574,45,45,-16,8,14,-8,-71,-18
1461663442556574,3,38,-17,-2,-11,-26,-63,4
1461663442556574,-25,-16,29,37,8,-2,47,-20
1461663442565568,-37,-37,-12,-35,-8,43,84,-19
1461663442565568,12,-18,17,-13,-17,20,46,44
1461663442578635,14,-95,-21,4,9,-47,-82,-8
1461663442578635,-5,20,-14,16,1,-39,-82,-3
1461663442587581,18,18,0,-34,-40,-28,42,-3
1461663442587581,-22,-14,1,1,18,31,-1,-18
1461663442602594,-9,51,30,37,12,42,70,15
1461663442602594,4,-34,-11,-72,-17,4,3,-14
1461663442610612,12,-5,3,-34,-15,7,63,19
1461663442610612,-37,-21,-13,92,57,-3,-31,11
1461663442616661,36,7,65,-14,-27,-3,-4,1
1461663442616661,23,0,-19,18,32,8,-38,-10
1461663442625609,-17,42,-7,72,39,-23,-58,-21
1461663442625609,8,-100,-18,-96,-58,-1,50,5
1461663442638632,-19,-128,-31,66,43,34,-25,9
1461663442638632,-30,-93,13,-31,-49,-64,-74,-40
1461663442647624,13,-77,14,10,-4,13,19,4
1461663442647624,2,-58,-27,-22,-6,-12,20,11
1461663442670696,25,-33,-27,-67,-13,10,40,32
