timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461661449030165,1,1,2,-3,-3,-1,0,0
1461661449030165,0,2,1,-4,-3,-1,1,0
1461661449037239,-1,-4,-1,-6,-4,-2,-2,1
1461661449037239,0,-1,1,9,1,-1,-1,0
1461661449053253,0,-4,-3,-2,1,0,0,1
1461661449053253,0,0,4,1,0,-1,-1,0
1461661449054273,0,0,-4,-4,-3,-1,-2,-1
1461661449054273,0,2,2,-2,-1,-1,-1,-1
1461661449085272,1,-2,-5,-1,-3,-2,-2,-1
1461661449085272,-3,-7,-6,-2,-3,-1,-1,-2
1461661449086260,-1,0,0,-2,2,1,0,-1
1461661449086260,-1,-3,-3,-1,0,-1,-2,-1
1461661449090319,-1,3,1,1,1,0,-1,-1
1461661449090319,1,1,2,-2,-1,-1,-2,1
1461661449097280,-4,-4,-5,-1,-2,-2,-2,-3
1461661449097280,-2,-2,-2,-6,-5,-1,-1,-1
1461661449113335,-3,-4,-3,-2,1,0,-1,0
1461661449113335,-1,-2,1,9,3,-1,0,-3
1461661449114288,-2,1,0,2,0,1,-1,0
1461661449114288,-3,-1,0,-3,-3,1,-2,0
1461661449129290,-1,0,-2,-2,-3,-1,-2,1
1461661449129290,-1,-1,-2,-4,0,1,0,0
1461661449135350,1,1,-1,1,-2,-1,1,-1
1461661449135350,-2,-4,-1,2,1,-3,-1,-2
1461661449150304,-1,-1,-1,-3,-3,-2,-1,0
1461661449150304,1,1,-2,-2,-1,0,-2,0
1461661449157308,-2,-4,-2,-3,-3,0,-1,-1
1461661449157308,0,-2,-2,-6,-2,-1,-1,-2
1461661449172377,-2,-1,3,7,4,2,-1,-2
1461661449172377,-1,-2,-3,0,-1,-1,0,-2
1461661449180338,-2,1,0,-3,-2,-1,-2,-1
1461661449180338,-1,1,-4,2,0,-1,-1,-1
1461661449189336,-1,-1,-2,-5,-3,-2,0,1
1461661449189336,-3,-1,2,-1,0,0,-1,-2
1461661449195336,0,1,0,1,0,-1,0,-1
1461661449195336,-1,1,3,1,1,-2,-1,0
1461661449210376,0,0,-3,0,0,-2,-2,0
1461661449210376,1,-1,-2,-6,-4,-2,0,0
1461661449225356,-2,-6,-3,-1,-4,-3,-1,-2
1461661449225356,-1,0,0,0,-2,-1,0,-1
1461661449232372,-1,-3,0,-2,0,0,1,-1
1461661449232372,0,-1,0,3,1,-1,-1,1
1461661449240425,-3,1,0,-2,-1,-2,-2,-2
1461661449240425,0,-1,1,-1,-1,0,-1,0
1461661449255435,1,-1,-2,-6,-3,-1,0,0
1461661449255435,-2,0,-1,0,0,-1,-1,-1
1461661449256390,-1,1,-2,3,1,0,-2,-2
1461661449256390,-2,-2,-1,-4,-1,-2,-1,-1
1461661449270447,-3,-2,0,0,-2,1,0,-1
1461661449270447,0,-1,-2,1,2,-1,-1,-2
1461661449277405,-1,-3,-8,-4,-1,-1,0,0
1461661449277405,-2,-1,1,-6,-3,-3,-1,-2
1461661449292404,1,0,0,-1,-1,-2,-1,-3
1461661449292404,-2,-1,1,5,3,-2,0,-1
1461661449300421,0,-3,-3,-4,-1,-1,0,0
1461661449300421,-1,-4,-5,0,-1,0,-1,-2
1461661449309420,0,0,1,-3,-3,0,1,1
1461661449309420,-1,-1,-1,-1,-1,0,-1,-1
1461661449315420,0,0,-1,1,-2,-2,-1,-1
1461661449315420,-1,5,1,-1,0,-2,0,1
1461661449330430,-2,-9,-6,0,0,0,-2,-2
1461661449330430,0,1,0,-5,-3,-1,0,0
1461661449337518,0,-4,-1,-1,-1,-2,-3,-1
1461661449337518,0,0,0,5,2,0,-1,0
1461661449352518,-2,-2,0,1,-1,-1,-1,-1
1461661449352518,0,-2,-3,-2,-2,0,-1,0
1461661449360539,1,-1,1,-2,-2,-1,-1,-1
1461661449360539,0,-1,-1,0,-2,0,-3,-2
1461661449375517,-3,1,-1,0,-1,-1,-1,0
